3032639	7,7
3085902	1,1
3256669	8,5
3290042	7,9
3345246	8,2
3367363	6,3
3407101	6,2
3471551	7,2
3471608	1,9
3471691	9,1
3483819	 
3502538	8,2
3510204	 
3539733	8
3617610	 
3625001	 
3625397	8,6
3680320	7,2
3698335	1,4
3704432	5,3
3721256	 
3746356	7,2
3758443	 
3761916	 
3769046	8,3
3773183	6,8
3789241	6,3
3804488	 
3821692	5,7
3833496	5,3
3846814	1,6
3851974	 
3854914	7,9
3858618	5,6
3865010	8,5
3865614	2,6
3871258	8,7
3872009	7,3
3872343	 
3873145	 
3879895	 
3895963	8,5
3896188	7,9
3910172	8,3
3953750	8,1
3970183	8
3970663	7,5
3970930	8,7
3971457	 
3971740	 
3972755	 
3973581	6,3
3974685	7,3
3980855	2,5
3992683	 
3993647	5,8
3995224	 
3996492	4,8
4000587	 
4006844	6,6
4006895	4,7
4008197	5,9
4009932	10
4011112	6,9
4012100	7,9
4012372	5,7
4012402	8
4025849	 
4032322	6,7
4032845	7,2
4054970	 
4057945	6,7
4066995	5,8
4074653	5,4
4075897	4,2
4076664	8,7
4087658	7,4
4094379	2,1
4096584	 
4098978	5,8
4101057	6,2
4101421	 
4101480	4,6
4105524	6
4107276	10
4107543	 
4108426	5,8
4112865	9,1
4118863	4,5
4120167	4,5
4124081	 
4124359	8,1
4128575	8,5
4131673	6,8
4132270	8,2
4135520	5,3
4135539	7,4
4136853	6,7
4139925	7,7
4140613	3,8
4141202	8,3
4141954	 
4143582	5,4
4143930	 
4145941	 
4152514	 
4157893	2,4
4158407	7,8
4161882	6,8
4164776	8,4
4165128	6,4
4166132	5,1
4170830	7,9
4172558	 
4173279	7,7
4173309	7,7
4175298	 
4175468	4,7
4176383	 
4177886	 
4178343	 
4190114	7,7
4192877	6,8
4195981	 
4214676	4,8
4221095	8,1
4227042	 
4227980	4,6
4228170	4,2
4228189	5,8
4234731	5,3
4235991	5,2
4237080	8,8
4237331	8,3
4237390	 
4239393	5,6
4239776	7
4245547	 
4245628	2,9
4252063	6,7
4255194	7,8
4257383	 
4260953	8,8
4261216	8,3
4261615	8,5
4265475	5,6
4267443	2
4269594	4
4270126	5,6
4274032	5,9
4275144	0,1
4275152	2,2
4275209	5,2
4275438	9,1
4275918	4,6
4276094	3,9
4279093	7,8
4279395	3,9
4279433	9,6
4280032	4,3
4282817	6
4283333	6,1
4284186	8,2
4284763	8
4286006	6,7
4287126	7,3
4288092	7,3
4289358	5,8
4290194	9
4290216	6,1
4291247	2,3
4291328	3,6
4292839	4,2
4293126	7,3
4293290	6,4
4293533	 
4294475	7,8
4296710	7,2
4297024	6
4297369	7,9
4298977	8,7
4300556	5,9
4300645	2,6
4301358	8
4301846	5,9
4302109	 
4302907	3,6
5483387	6
5483557	8,7
5484073	4,6
5485193	5,6
5487056	4,5
5488621	5,5
5490359	8,2
5490723	7,9
5491185	7
5492491	4,7
5494249	5,9
5494516	7
5494559	5,4
5494753	9
5495792	 
5496381	2,1
5496578	7,6
5499925	3
5500117	6,1
5502098	9,8
5508584	6,2
5511941	5
5512786	2,6
5513588	5,8
5515068	5,4
5516013	6,1
5518628	6,2
5518717	6,8
5518741	6,4
5519357	2,8
5519497	7,9
5521858	 
5522102	2,1
5523532	7
5525217	 
5525594	6,6
5526353	6,6
5527864	2,8
5528909	7,1
5530660	2,4
5531357	 
5533988	 
5540577	2,5
5541131	0,4
5542812	 
5543118	 
5543398	3,9
5543800	7,4
5544262	7,4
5544572	4,4
5545358	8,1
5547717	5,2
5550904	3,9
5551528	4,1
5551552	4,6
5553083	2,9
5553970	7,2
5554489	 
5559405	 
5559588	2,9
5571995	7,4
5575400	2,1
5578965	5,3
5584817	9,3
5586771	3,5
5666163	6,1
5681782	5,9
5706882	3,9
5746221	3,4
5770173	1,4
5775442	5,6
5775469	5,7
5775477	3,3
5775485	3,8
5775507	2,2
5780276	2
5780314	7
5781485	5,1
5781515	1,7
5781825	5,4
5785502	0,8
5787203	3,2
5790174	6
5797101	6,2
5797470	2,9
